老千 ,"['崔东勋', '崔东勋', '许英万', '曹承佑', '金惠秀', '白润植', '柳海真', '李水京', '金应洙', '金允石', '剧情', '犯罪']","['崔东勋', '许英万']","['曹承佑', '金惠秀', '白润植', '柳海真', '李水京', '金应洙', '金允石']","['剧情', '犯罪']",['制片国家/地区: 韩国'],['语言: 韩语'],['上映日期: 2006-09-28'],['又名: 泰沙大豪客(港) / The War of Flower / Tazza: the High Rollers'],"
                            ",['ftp://6vdy:6vdy@vip.36ys.com:2116/【6V电影www.6vdy.com】老千BD中字1024x576无水印版.rmvb']
金蝉脱壳2：冥府 ,"['史蒂芬·C·米勒', '迈尔斯·查普曼', '西尔维斯特·史泰龙', '黄晓明', '戴夫·巴蒂斯塔', '杰西·麦特卡尔菲', '50分', '约翰·威斯利·查特曼', '唐辰瀛', '泰伦·伍德利', '泰勒·乔恩·奥尔森', '提图斯·维里沃', '谢伊·巴克纳', '杰米·金', '丽迪雅·赫尔', '阿什利·库萨托', '罗旖凡', '罗温·布赛义德', '贝莉·柯伦', '泽科·扎基', '文森特·杨', '埃里克·纽纳姆', '马克·希克斯', '彼特·温兹', '奚梦瑶', '罗曼·米蒂齐扬', '戈登·迈克尔斯', '婕咪·埃迪', '约瑟夫·布莱克·门泽尔', '乔·吉尔希翁', '阿方索·A·杰克逊', '奥罗拉·卡琳', '德方塔·弗里曼', '科里·温斯顿', '佩里·约翰逊', '麦克·里德', '瑞恩·牛顿', '蒂莫西·米勒', '埃里克·本德罗斯', '德里克·瑞安·杜克', '大卫·邓斯顿', 'J·麦克罗伊', '动作', '惊悚']",['迈尔斯·查普曼'],"['西尔维斯特·史泰龙', '黄晓明', '戴夫·巴蒂斯塔', '杰西·麦特卡尔菲', '50分', '约翰·威斯利·查特曼', '唐辰瀛', '泰伦·伍德利', '泰勒·乔恩·奥尔森', '提图斯·维里沃', '谢伊·巴克纳', '杰米·金', '丽迪雅·赫尔', '阿什利·库萨托', '罗旖凡', '罗温·布赛义德', '贝莉·柯伦', '泽科·扎基', '文森特·杨', '埃里克·纽纳姆', '马克·希克斯', '彼特·温兹', '奚梦瑶', '罗曼·米蒂齐扬', '戈登·迈克尔斯', '婕咪·埃迪', '约瑟夫·布莱克·门泽尔', '乔·吉尔希翁', '阿方索·A·杰克逊', '奥罗拉·卡琳', '德方塔·弗里曼', '科里·温斯顿', '佩里·约翰逊', '麦克·里德', '瑞恩·牛顿', '蒂莫西·米勒', '埃里克·本德罗斯', '德里克·瑞安·杜克', '大卫·邓斯顿', 'J·麦克罗伊']","['动作', '惊悚']",['制片国家/地区: 美国 / 中国大陆'],['语言: 英语'],['上映日期: 2018-06-29(中国大陆/美国)'],['又名: 金蝉脱壳2：冥府 / Escape Plan 2'],"
                            2013年，《金蝉脱壳》中史泰龙和施瓦辛格联手越狱还原“真人魂斗罗”组合。时隔四年，续作《金蝉脱壳2》回归，灵魂人物超级硬汉史泰龙重出江湖，再次出演运筹帷幄的越狱专家，携手黄晓明和戴夫·巴蒂斯塔等，再掀越狱风云。","['ed2k://|file|金c脱q2.720p.BD中英双字[最新电影www.hao6v.com].mp4|1451904641|17AFD0194A504B39AA8FE075552AD334|h=2IM5ENXV3UZDJ6MFXU2MOXTNMMKYITHT|/', 'ed2k://|file|jctq2（大陆公映国英双语）.1080p.HD中字[最新电影www.66ys.tv] .mkv|2141395294|5ADFA315D00FF89953A8FBC1B947B2DA|h=JM5NWGG5UU6LPATP2ADKRXUESZQKQI2A|/', 'ed2k://|file|jctq2（大陆公映国英双语）.4K.HD中字[最新电影www.66ys.tv].mkv|4235696274|F0B59C638E217250FD7179E285916BB4|h=AZZQXE7SEEONCGMHUNMRAO4NJALIV5JA|/', 'ed2k://|file|金c脱q2.1080p.BD中英双字[最新电影www.hao6v.com].mp4|3333370553|1416344F3D55C3E91D163C79798667AF|h=UFQGHQAKDZPKJBMW2KXIX4IID3GYQIQE|/']"
金蝉脱壳3：恶魔车站 ,"['约翰·赫兹菲尔德', '约翰·赫兹菲尔德', '迈尔斯·查普曼', '西尔维斯特·史泰龙', '戴夫·巴蒂斯塔', '50分', '杰米·金', '张晋', '戴文·萨瓦', '岑勇康', '王盛德', '丹尼尔·伯哈特', '丽迪雅·赫尔', '玛莱斯·裘', '杰夫·蔡斯', '罗伯·德·格鲁特', '谢伊·巴克纳', '海蒂·莱万多夫斯基', '王丹妮', '泰勒·乔恩·奥尔森', '德方塔·弗里曼', '大卫·诺', '泰德·威廉姆斯', 'Holland Herzfeld', 'Jen Sung Outerbridge', 'Darko Ostojic', 'John Catheline', '动作']","['约翰·赫兹菲尔德', '迈尔斯·查普曼']","['西尔维斯特·史泰龙', '戴夫·巴蒂斯塔', '50分', '杰米·金', '张晋', '戴文·萨瓦', '岑勇康', '王盛德', '丹尼尔·伯哈特', '丽迪雅·赫尔', '玛莱斯·裘', '杰夫·蔡斯', '罗伯·德·格鲁特', '谢伊·巴克纳', '海蒂·莱万多夫斯基', '王丹妮', '泰勒·乔恩·奥尔森', '德方塔·弗里曼', '大卫·诺', '泰德·威廉姆斯', 'Holland Herzfeld', 'Jen Sung Outerbridge', 'Darko Ostojic', 'John Catheline']",['动作'],['制片国家/地区: 美国'],['语言: 英语 / 汉语普通话'],['上映日期: 2019-07-02(美国)'],"[""又名: 金蝉脱壳3 / Escape Plan 3: Devil's Station""]","
                            约翰·赫兹菲尔德(《生死交锋》《山谷两日》执导，前两部编剧米尔斯·查普曼继续操刀剧本。讲述某香港科技大亨的女儿失踪，史泰龙饰演的Breslin带着团队深挖此案，发现罪犯是自己一个老对手的疯狂的儿子，他还绑架了Breslin的爱人，并把她关在名为“恶魔车站”的巨大监狱里。Breslin将和巴蒂斯塔饰演的DeRosa等再度试图越狱。","['ed2k://|file|金蝉脱壳3：恶魔车站.1080p.BD中英双字[最新电影www.66e.cc].mp4|2629446519|44F552843659889CFD791E18471A5F69|h=AAJBTF4GEXPF4OTCHBBNB2TMEFSR2TRH|/', 'magnet:?xt=urn:btih:53FSLOQ5XBVYDR7OITRRTX7PXZW224GW', 'ed2k://|file|金蝉脱壳3：恶魔车站.720p.BD中英双字[最新电影www.66e.cc].mp4|938211455|BBF074D00B87CA8190AF3F914F06F181|h=PNC724CT4JIU54BRICAKTB2AFMVYQIXM|/']"
只属于我 ,"['Michael Civille', 'Matt Young', '安伯·明迪桑德', '布莱特·季默曼', '克里斯·勃朗宁', '克劳迪娅·费里', 'Walter Fauntleroy', '洛伦佐·詹姆斯·亨里', 'Ashley Holliday Tavares', '艾伦·沃洛', '乔安娜·沃尔什', 'Ashly Kay Monei', '南茜·林韩·查尔斯', 'Malcolm Bodon', 'Robbie Dias', 'Caleb Stupka', '惊悚']",['Matt Young'],"['安伯·明迪桑德', '布莱特·季默曼', '克里斯·勃朗宁', '克劳迪娅·费里', 'Walter Fauntleroy', '洛伦佐·詹姆斯·亨里', 'Ashley Holliday Tavares', '艾伦·沃洛', '乔安娜·沃尔什', 'Ashly Kay Monei', '南茜·林韩·查尔斯', 'Malcolm Bodon', 'Robbie Dias', 'Caleb Stupka']",['惊悚'],['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-01-15(美国)'],['又名: 只有我的'],"
                            被一个蔑视的情人折磨并留下来死去，一个女人发现自己内心的力量可以恢复并对她的施虐者进行报复。",['ed2k://|file|只属于我.720p.BD中英双字[最新电影www.66e.cc].mkv|1072214861|196F9ECEC3A3EC98DFF70B919EF3CC4A|h=TWYF4RVECDZYE4FCSQLMKOILJIBFVBB4|/']
拼图杀机 ,"['林振承', '林振承', '池承炫', '李世美', '姜其永', '杨明宪', '英健', '方秀衡', '姜多贤', '宋东焕', '元贤俊', '朴尚赫', '趙潤鎬', '悬疑']",['林振承'],"['池承炫', '李世美', '姜其永', '杨明宪', '英健', '方秀衡', '姜多贤', '宋东焕', '元贤俊', '朴尚赫', '趙潤鎬']",['悬疑'],['制片国家/地区: 韩国'],['语言: 韩语'],['上映日期: 2018-02-22(韩国)'],['又名: Puzzle'],"
                            拥有一切的男子都俊（池承炫饰），妻子和小孩都在国外生活，也因此他的疑心病变得更重了。某日他一个人喝完酒徘徊时，遇到了一位谜样的女子世莲（李世美饰），陷入她的魅力之中的都俊也因此卷入了某起事件……",['ed2k://|file|拼图杀机720p..BD中字[最新电影www.66e.cc].mkv|1158690488|F53BD537D94321046D425079000143DE|h=JVHW36SKFJ2UCGUTWWRQEIML7MUEWIN6|/']
多米诺骨牌 ,"['布莱恩·德·帕尔玛', '彼特·斯卡弗兰', '卡里斯·范·侯登', '尼古拉·科斯特-瓦尔道', '盖·皮尔斯', '尼可拉斯·布若', '索伦·莫灵', '托马斯·加比利尔森', '帕普丽卡·斯汀', '雅各布·乌尔里克·罗曼', '艾瑞克·艾伯纳尼', '埃拉·琼·昂拉尔', '杜菲·阿尔-加布尔', '强·朗格', '尤尼斯·贝希尔', '克里斯蒂安·布朗查特', 'Ardalan Esmaili', '伊利亚斯·阿达布', '伊利亚斯·奥吉亚', '苏丝·威尔金斯', '碧姬·伊莱格姆', '胡安·阿罗卡', '惊悚', '犯罪']",['彼特·斯卡弗兰'],"['卡里斯·范·侯登', '尼古拉·科斯特-瓦尔道', '盖·皮尔斯', '尼可拉斯·布若', '索伦·莫灵', '托马斯·加比利尔森', '帕普丽卡·斯汀', '雅各布·乌尔里克·罗曼', '艾瑞克·艾伯纳尼', '埃拉·琼·昂拉尔', '杜菲·阿尔-加布尔', '强·朗格', '尤尼斯·贝希尔', '克里斯蒂安·布朗查特', 'Ardalan Esmaili', '伊利亚斯·阿达布', '伊利亚斯·奥吉亚', '苏丝·威尔金斯', '碧姬·伊莱格姆', '胡安·阿罗卡']","['惊悚', '犯罪']",['制片国家/地区: 丹麦 / 法国 / 意大利 / 比利时 / 荷兰'],['语言: 英语'],['上映日期: 2019-06-06(意大利)'],['IMDb链接: tt3282076'],"
                            ",['ed2k://|file|多米诺骨牌720p.BD中英双字[最新电影www.66e.cc].mkv|1151093445|E010D9F5DC888DDC0FBB74B7B17004E4|h=X5L36VJA5BH7LCKL66WA2NMSK7GK3XXM|/']
精武陈真 ,"['马中轩', '马中轩', '陈奕名', '刘倩妤', '赵铁英', '桑伟淋', '张德晖', '徐沅澔', '动作']",['马中轩'],"['陈奕名', '刘倩妤', '赵铁英', '桑伟淋', '张德晖', '徐沅澔']",['动作'],['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-06-14(中国大陆)'],[],"
                            在家国飘摇的无情现实时，唤醒了陈真的大无畏精神。悟出“侠之大者，为国为民”的深意。锤筋锻骨的历炼成就了英雄陈真。最后他用生命保卫了精武精神，枪声响过，豪气干云的陈真，是真的汉子。他面对日本人的枪口没有屈服，他宁死也不愿意向敌人低头。他是我心中的英雄，也是我们中华民族的英雄。虽然陈真是死了，他用他的血激励起在每个中国人心中的精武精神。证明中国人并不是东亚病夫！让我们永记：生为中国人，死为中国魂，扬我中华傲气，树我精武精神。","['ed2k://|file|精武陈真.1080p.HD国语中字无水印[最新电影www.66e.cc].mp4|902188387|5EE2D58E906ECE54040DBC1540C5520A|h=H7XGRSLA6JJVBHUGJQXBDUZSVXW43DYO|/', 'magnet:?xt=urn:btih:3EVNJZLXKEPDTAMD4QP4ACIHMX4LGRWK']"
金蝉脱壳 ,[],[],[],[],[],[],[],[],"
                            孔武冷峻的雷·布雷斯林（西尔维斯特·史泰龙 Sylvester Stallone 饰）经过周密计划，成功从戒备甚严的监狱中逃脱。他隶属于独立的BC安保公司，该公司受联邦监狱局之托测试国家各地监狱的安全性，通过布雷斯林这些越狱高手查找监狱的漏洞，以确保不会有犯人从牢笼中逃 脱。在过去八年里，雷已成功征服14座监狱。这一次，中情局为验证关押了罪大恶极恐怖分子的设施的安全，委托正准备退休的雷进入神秘莫测的国际监禁中心。但此次行动似乎出了什么差错，雷与团队失去联系，冷酷无情的典狱官霍布斯（詹姆斯·卡维泽 Jim Caviezel 饰）也完全无视他的撤离申请，更有凶残的狱卒（维尼·琼斯 Vinnie Jones 饰）热衷草菅人命。","['ed2k://|file|金蝉脱壳.1080p.国英双语.BD中英双字[最新电影www.66e.cc].mp4|2361906829|205A236E4234E293722247196840953F|h=DLZ6DO4ZOVAODS5EPJO3BYZK4QRE53QQ|/', 'http://bt.pp63.org/2019/金蝉脱壳.1080p.国英双语.BD中英双字.torrent', 'magnet:?xt=urn:btih:356ACIHQQHSYX7O4TQYCVRKMWURYXAKL']"
暗数杀人 ,"['金泰均', '郭暻泽', '金泰均', '金允石', '朱智勋', '剧情', '犯罪']","['郭暻泽', '金泰均']","['金允石', '朱智勋']","['剧情', '犯罪']",['制片国家/地区: 韩国'],['语言: 韩语'],['上映日期: 2018-10-03(韩国)'],['又名: 黑数杀人 / Dark Figure of Crime'],"
                            影片故事讲述一个变态杀人狂(朱智勋饰)藏匿了7起杀人案，他将和调查这些案件的刑警(金允石饰)展开正面交锋。","['ed2k://|file|暗数杀人.1080p.BD中字[最新电影www.66e.cc].mp4|3077103826|47039F366BE8FF74D8C05BF4CD9D26E1|h=6IUXOHXQP67R3KBMJV3WHKEZLOOO62IH|/', 'http://bt.pp63.org/2019/暗数杀人.1080p.BD中字.torrent', 'magnet:?xt=urn:btih:WXWDHLKQZAKGCVRE44UM6MAF46J5LE5O', 'ed2k://|file|暗数杀人.1080p.BD中字[最新电影www.66ys.tv].mp4|3628231802|294D8D818364C98D15B36E91989CC5DB|h=75ENNBZK76DDVJON7OKBBR2T476MYIOC|/', 'ed2k://|file|暗数杀人.720p.BD中字[最新电影www.66ys.tv].mp4|1563693722|9CD3C1F044F55568C1DD4FB2155004C7|h=JBVFCHOSZZCD6AYLJMADPQQXQKPD2RBT|/']"
28岁未成年 ,"['张末', '张末', '张弘毅', '张影', '翟嘟', '田金', '倪妮', '霍建华', '马苏', '王大陆', '潘斌龙', '隋凯', '刘恩佳', '余心恬', '汪汐潮', '来喜', '曲哲明', '喜剧', '爱情', '奇幻']","['张末', '张弘毅', '张影', '翟嘟', '田金']","['倪妮', '霍建华', '马苏', '王大陆', '潘斌龙', '隋凯', '刘恩佳', '余心恬', '汪汐潮', '来喜', '曲哲明']","['喜剧', '爱情', '奇幻']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2016-12-09(中国大陆)'],['又名: 二十八岁未成年 / Suddenly Seventeen'],"
                            ","['magnet:?xt=urn:btih:EJPIB7I5P6I4E2JLTHJ3CFJWSW2CAFHA', 'ed2k://|file|28岁未成年.1080p.BD国语中字[最新电影www.66e.cc].mp4|3070230811|AA7E90E3D9A57D47C1AD86AFE9A22220|h=6A2HFI2YINM6QEL56OG7OOVWJZP5RWHI|/', 'ed2k://|file|28岁未成年.720p.HD国语中字.mp4|2016477706|0BD6AD89BE0F5FFA1F1C019CC4F9D2DD|h=PLOMXCMNWJ363CE5GMK4TTCKYO4E65BK|/']"
黑衣人 ,"['巴里·索南菲尔德', '艾德·索罗门', '劳威尔·坎宁安', '威尔·史密斯', '汤米·李·琼斯', '琳达·费奥伦蒂诺', '文森特·多诺费奥', '雷普·汤恩', '托尼·夏尔赫布', '喜剧', '动作', '科幻']","['艾德·索罗门', '劳威尔·坎宁安']","['威尔·史密斯', '汤米·李·琼斯', '琳达·费奥伦蒂诺', '文森特·多诺费奥', '雷普·汤恩', '托尼·夏尔赫布']","['喜剧', '动作', '科幻']",['制片国家/地区: 美国'],['语言: 英语 / 西班牙语'],['上映日期: 1997-07-02(美国)'],['又名: MIB星际战警(台) / 黑超特警组(港) / MIB'],"
                            ","['magnet:?xt=urn:btih:XKZV2LEJHQ7AXF7FOC4RGVTESHFWD57C', 'ed2k://|file|黑衣人.1080p.国英双语.BD中英双字无水印[最新电影www.66e.cc].mp4|5134061360|D8FAD20EA12EDC22CE9E38B5283C83ED|h=MWVNALRGXEKLM2PXBOBNLS7ODPIIEUA7|/']"
黑衣人2 ,"['巴里·索南菲尔德', '罗伯特·戈登', '巴里·法纳罗', '劳威尔·坎宁安', '威尔·史密斯', '汤米·李·琼斯', '约翰尼·诺克斯维尔', '罗莎里奥·道森', '雷普·汤恩', '拉腊·弗林·鲍尔', '帕特里克·沃伯顿', '迈克尔·杰克逊', '喜剧', '动作', '科幻']","['罗伯特·戈登', '巴里·法纳罗', '劳威尔·坎宁安']","['威尔·史密斯', '汤米·李·琼斯', '约翰尼·诺克斯维尔', '罗莎里奥·道森', '雷普·汤恩', '拉腊·弗林·鲍尔', '帕特里克·沃伯顿', '迈克尔·杰克逊']","['喜剧', '动作', '科幻']",['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2002-07-03'],['又名: MIB星际战警2(台) / 黑超特警组2(港) / 黑超特警2 / MIB II'],"
                            ","['magnet:?xt=urn:btih:2EAOAIGRCNZ2KHKSCG5A7HXW6V4KDKLU', 'ed2k://|file|黑衣人2.1080p.国英双语.BD中英双字无水印[最新电影www.66e.cc].mp4|4386522701|24865FD11B67B8A7DD1D5010A65A8257|h=GEHLAMDICKXGHNILKNBJFIZZZ3SEZHOU|/']"
黑衣人3 ,"['巴里·索南菲尔德', '伊坦·柯亨', '劳威尔·坎宁安', '威尔·史密斯', '汤米·李·琼斯', '乔什·布洛林', '杰梅奈·克莱门特', '艾玛·汤普森', '尼可·斯彻金格', '爱丽丝·伊芙', '大卫·拉斯彻', '比尔·哈德尔', '迈克尔·斯图巴', '喜剧', '动作', '科幻']","['伊坦·柯亨', '劳威尔·坎宁安']","['威尔·史密斯', '汤米·李·琼斯', '乔什·布洛林', '杰梅奈·克莱门特', '艾玛·汤普森', '尼可·斯彻金格', '爱丽丝·伊芙', '大卫·拉斯彻', '比尔·哈德尔', '迈克尔·斯图巴']","['喜剧', '动作', '科幻']",['官方网站: www.meninblack.com'],['制片国家/地区: 美国'],['语言: 英语'],['片长: 103分钟 / 106分钟(中国大陆)'],"
                            ","['magnet:?xt=urn:btih:DBEPMWWBZDQNDLQ44NMBTCEKECEL5OG7', 'ed2k://|file|黑衣人3.1080p.国英双语.BD中英双字无水印[最新电影www.66e.cc].mp4|5546080993|446454F00A4D5572F4A82F1D2DC7503D|h=TV6ANDD4SQZ2ED26RDQHQ7PRQXLORR3T|/']"
爱笑种梦室之东北佳人 ,"['梁佳豪', '吴鹰翔', '李海部', '孟庆勋', '若水', '刘子彧', '谢菲', '释小龙', '文松', '苗圃', '刘天佐', '肖旭', '崔志佳', '邢菲', '张学恒', '张维威', '孙源东', '刘宇珽', '喜剧', '动作']","['李海部', '孟庆勋', '若水', '刘子彧', '谢菲']","['释小龙', '文松', '苗圃', '刘天佐', '肖旭', '崔志佳', '邢菲', '张学恒', '张维威', '孙源东', '刘宇珽']","['喜剧', '动作']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-06-24(中国大陆)'],[],"
                            ","['magnet:?xt=urn:btih:HCLMAGAGBAIFSHKENV66K3A76L2LTLVE', 'ed2k://|file|爱笑种梦室之东北佳人.1080p.HD国语中字无水印[最新电影www.66e.cc].mp4|740027763|99290D9DDC2C00793FFF834C895C405A|h=FHUHCJE547W3MKGWCN4ZWGRDMGCA7X3Y|/']"
玩家 ,"['玛丽·蒙日', '玛丽·蒙日', '罗曼·康宁', '斯塔西·马汀', '塔哈·拉希姆', '布鲁诺·沃尔科维奇', '卡里姆·莱克路', '爱情', '犯罪']","['玛丽·蒙日', '罗曼·康宁']","['斯塔西·马汀', '塔哈·拉希姆', '布鲁诺·沃尔科维奇', '卡里姆·莱克路']","['爱情', '犯罪']",['制片国家/地区: 法国'],['语言: 法语'],['上映日期: 2018-05-11(戛纳电影节) / 2018-07-04(法国)'],['又名: 爱情赌徒(台) / Treat Me Like Fire'],"
                            斯塔西·马汀、塔哈·拉希姆([预言者])主演的新片[玩家](Joueurs，暂译)在巴黎开拍。曾凭借[马赛的夜]提名凯撒奖短片编剧的玛丽·蒙日执导该片。剧本由导演和[女神们]编剧罗曼·康宁等人共同撰写。故事围绕一个赌博成瘾的人展开，一个疯狂迷恋上他的女子，不惜一切地要赢得他的心。","['magnet:?xt=urn:btih:I7X6S56T2J25N56KBPTVNEXFRWBTZUEM', 'ed2k://|file|玩家.720p.BD中字[最新电影www.66e.cc].mp4|975704931|BD16BFD109EA8C6AD1D6D2DB6CA960B9|h=TBC6V4KVNRPGIM327RSWE6PBZ36FTMIM|/']"
王者无敌苏乞儿 ,"['李国华', '牛军', '李国华', '牛军', '白那日苏', '宋佳玲', '邓钢', '动作']","['李国华', '牛军']","['白那日苏', '宋佳玲', '邓钢']",['动作'],['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-06-23(中国大陆)'],[],"
                            五年前，苏灿全家被杀，苏灿侥幸逃脱，从此隐姓埋名沦为乞丐。五年后，等他带着徒儿再次回到广州之日，广州发生了天翻地覆的变化。烟馆满街，民不聊生，新上任的总督钟懿和广州知府徐友谅面和心不合，父亲曾经的好友赵海已成为当地第一首富，青梅竹马的赵倩也变成了留洋归来的美女。总督上任途中曾遇到刺客，苏乞儿误打误撞卷入其中，遭到广州知府的通缉捉拿。苏乞儿一面应对官府的围追堵截，一面暗中调查杀害全家的凶手，无意间，却发现了洋人的一个惊天秘密。而此时，苏乞儿与赵倩的感情也在日渐复苏。面对家仇、国恨，曾经的青梅竹马，苏乞儿该何去何从？","['magnet:?xt=urn:btih:W6CAIZF5MG37C32TB25RYAWQ7TZO6ORG', 'ed2k://|file|王者无敌苏乞儿.1080p.HD国语中字无水印[最新电影www.66e.cc].mp4|1281274885|5588EC9A18F1D1917C60206C2B8AC286|h=HWG4KZXTMO4JYYHZ7UAOYRZ3IWGRPMHI|/']"
唐少女汐彦 ,"['高翊浚', '高翊浚', '郑雅文', '爱情']",['高翊浚'],['郑雅文'],['爱情'],['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-06-24(中国大陆)'],[],"
                            某日，西域进献给唐皇的佛祖舍利不翼而飞，唐皇将此案交给刚正不阿又英俊潇洒的袁大人调查。袁大人刚得到消息，就听闻一位叫汐彦的少女亲来投案。袁大人在审问少女汐彦的过程中，发现此女跟此案并无多少干系。而少女汐彦亲来投案的缘由，竟是因为倾慕袁大人已久。这让刚正不阿的袁大人苦恼不已，就在袁大人被少女汐彦深深吸引的同时，袁大人发现自己好友竟亦恋慕汐彦已久。","['magnet:?xt=urn:btih:PAWTWXCJ6NJNNMGWTAK7HFUUQMN6XRX7', 'ed2k://|file|唐少女汐彦.1080p.HD国语中字无水印[最新电影www.66e.cc].mp4|1308827460|EF5031134F53D72C507E28120259C245|h=C3CR43DFPYQXQVV55N54IQIS76EHAUL7|/']"
午夜废墟 ,"['胡韵', '胡韵', '张圣岳', '常奕然', '刘俊峰', '曾漪莲', '恐怖']",['胡韵'],"['张圣岳', '常奕然', '刘俊峰', '曾漪莲']",['恐怖'],['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2018-12-29(中国大陆)'],['又名: Midnight Ruins'],"
                            落魄画家成子皓被旧日好友苏菲叫去调查话剧社后辈们排练《夜半歌声》时频频出现的诡异事件，这也是他们当年曾经排练过的剧目，同时也是他心中挥之不去的隐痛，是他所有噩梦的源泉。调查过程中波折不断，甚至把成子皓当年苦苦暗恋但早已多年不见的沈雪也牵扯进来。这相隔多年的同一出戏竟然因为同样的爱与恨而冥冥中产生了许多的联系。随着事件的推进，越来越多的真相让成子皓感到愕然，一幅关于爱与恨的复仇画卷正在徐徐上演。","['magnet:?xt=urn:btih:I77VRUSVQKXBIT3YGLIYMEWUQQO4CZRN', 'ed2k://|file|午夜废墟.1080p.HD国语中字无水印[最新电影www.66e.cc].mp4|1684688871|7F114A4F24EB6869A4791273615D62B5|h=LKVYGHO3AUS7MCJ7R2LTDR72FH4MCM7V|/']"
寻车奇遇 ,"['萨钦·亚尔迪', '拉胡尔·阿瓦特', '萨钦·亚尔迪', '维贾伊·拉齐', '阿佩·代沃尔', '米蒂拉·帕卡尔', 'Benafsha Soonawalla', '剧情', '喜剧']","['拉胡尔·阿瓦特', '萨钦·亚尔迪']","['维贾伊·拉齐', '阿佩·代沃尔', '米蒂拉·帕卡尔', 'Benafsha Soonawalla']","['剧情', '喜剧']",['制片国家/地区: 印度'],['语言: 印地语'],['上映日期: 2019-05-31(印度)'],['又名: 拍住上(港) / 双双出击(台)'],"
                            《寻车奇遇》讲述了一个天资聪颖但缺乏自信的女孩，她在人生的各个阶段处处逃避。她揭开神秘的骗局，从一个喜欢山羊的疯狂孟买歹徒手中找回被偷走的车。在这个过程中，她重拾自信并开始变得阳光开朗。除了因参演 Netflix 剧集《温馨点滴》而征服观众的米蒂拉·帕卡尔，阿佩·代沃尔和维贾伊·拉齐也将出演本片。《寻车奇遇》由 Vineyard Productions 的阿什维尼·亚尔迪担任制片人，萨钦·亚尔迪担任导演。","['magnet:?xt=urn:btih:EQJ2QUXL3WCHZMEQWAJ5HTN23HZPRHJW', 'ed2k://|file|寻车奇遇.720p.HD中字[最新电影www.66e.cc].mp4|1298951050|E7DBE3830DBC11A0D47E1F06AE90EB30|h=CHCGULNY26UE2V7GYCRLCGADMRFWYWO6|/']"
之后 ,"['珍妮·盖奇', '苏珊·麦克马丁', '安娜·托德', '约瑟芬·兰福德', '赫洛·费因斯-提芬', '彼得·盖勒', '詹妮弗·比尔斯', '塞尔玛·布莱尔', '梅多·威廉姆斯', '迪伦·阿诺德', '塞缪尔·拉森', '伊南娜·萨尔基斯', '何塞·阿尔弗雷多·费尔南德斯', '皮亚·米尔', '沙恩·保罗·麦吉', '斯温·特梅尔', '哈迪扎·里德·桑德尔', '马克·克斯洛威茨', '艾米丽塔·T·冈萨雷斯', '剧情', '爱情']","['苏珊·麦克马丁', '安娜·托德']","['约瑟芬·兰福德', '赫洛·费因斯-提芬', '彼得·盖勒', '詹妮弗·比尔斯', '塞尔玛·布莱尔', '梅多·威廉姆斯', '迪伦·阿诺德', '塞缪尔·拉森', '伊南娜·萨尔基斯', '何塞·阿尔弗雷多·费尔南德斯', '皮亚·米尔', '沙恩·保罗·麦吉', '斯温·特梅尔', '哈迪扎·里德·桑德尔', '马克·克斯洛威茨', '艾米丽塔·T·冈萨雷斯']","['剧情', '爱情']",['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-04-12(美国)'],['IMDb链接: tt4126476'],"
                            ",['ed2k://|file|之后.720p.BD中英双字[最新电影www.66e.cc].mkv|1378215075|7961A8211E348EB3E29E9843C15A5D9B|h=K6KPCR5AZCRMJSSNFOQDU3IO2ZODOP3H|/']
